make,address,all,num3d,our,over,remove,internet,order,mail,receive,will,people,report,addresses,free,business,email,you,credit,your,font,num000,money,hp,hpl,george,num650,lab,labs,telnet,num857,data,num415,num85,technology,num1999,parts,pm,direct,cs,meeting,original,project,re,edu,table,conference,charSemicolon,charRoundbracket,charSquarebracket,charExclamation,charDollar,charHash,capitalAve,capitalLong,capitalTotal,type,
1,-0.342396492,0.330848943,0.712781302,-0.046894487,0.011563454,-0.35022811,-0.291762175,-0.262533024,-0.323267223,-0.371324027,-0.296827265,0.114074934,-0.312021293,-0.174908156,-0.190093744,0.086162071,-0.321100514,2.080980455,0.150888974,-0.167874867,0.125114799,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.514250655,-0.155180808,0.62393876,-0.30832143,-0.103037206,-0.045242359,0.045292997,-0.008723186,1
2,0.345321862,0.051903553,0.435082251,-0.046894487,-0.256089457,0.672326213,0.244716655,-0.088000532,-0.323267223,1.086593194,0.745125401,0.288149746,1.84719031,0.451613715,0.350773716,-0.131810572,-0.1634625,0.179347313,1.018259727,-0.167874867,0.649760746,-0.118158666,0.9373892,0.75848264,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.158112221,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.026004396,-0.155180808,0.126189439,0.423737003,0.008761757,-0.002443002,0.250535602,1.228190574,1
3,-0.145905533,-0.165053972,0.851630827,-0.046894487,1.364697612,0.343648038,0.193623433,0.036665534,1.973802263,0.016419915,1.588610893,-0.106419829,0.086602388,-0.174908156,6.570749503,-0.228687302,-0.185982216,1.591451131,-0.17015085,0.459863041,-0.249632305,-0.118158666,3.02139806,-0.077419536,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.013813978,-0.120891545,-0.172581204,0.33019409,-0.127329481,-0.23843698,-0.131512945,-0.071380146,-0.111534108,-0.117363543,0.014682792,-0.155180808,0.008495019,0.440004969,-0.079745755,0.14590499,2.220864607,3.258378359,1
4,-0.342396492,-0.165053972,-0.556700071,-0.046894487,0.472521244,-0.35022811,0.500182765,1.308259403,0.789375809,0.605790706,1.241293337,-0.268889654,0.717756549,-0.174908156,-0.190093744,0.07405248,-0.321100514,-0.347838112,0.854923676,-0.167874867,-0.416186574,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.007510219,-0.155180808,-0.161916694,-0.30832143,-0.103037206,-0.052144464,-0.062459371,-0.152205182,1
5,-0.342396492,-0.165053972,-0.556700071,-0.046894487,0.472521244,-0.35022811,0.500182765,1.308259403,0.789375809,0.605790706,1.241293337,-0.268889654,0.717756549,-0.174908156,-0.190093744,0.07405248,-0.321100514,-0.347838112,0.854923676,-0.167874867,-0.416186574,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.01490789,-0.155180808,-0.164368661,-0.30832143,-0.103037206,-0.052144464,-0.062459371,-0.152205182,1
6,-0.342396492,-0.165053972,-0.556700071,-0.046894487,2.286613192,-0.35022811,-0.291762175,4.350111403,-0.323267223,-0.371324027,-0.296827265,-0.628644267,-0.312021293,-0.174908156,-0.190093744,-0.30134485,-0.321100514,-0.347838112,-0.936140605,-0.167874867,-0.67434569,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,0.310589616,-0.155180808,-0.32987644,-0.30832143,-0.103037206,-0.069068805,-0.190735999,-0.378148095,1
7,-0.342396492,-0.165053972,-0.556700071,-0.046894487,2.390700435,-0.35022811,-0.291762175,-0.262533024,-0.323267223,0.621300464,4.466384922,0.856794135,-0.312021293,-0.174908156,-0.190093744,0.861175915,-0.321100514,0.254659517,1.232286276,-0.167874867,-0.141372031,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.314513549,-0.155180808,-0.128815139,-0.0887039,-0.103037206,-0.110954184,-0.247177715,-0.282493431,1
8,-0.342396492,-0.165053972,-0.556700071,-0.046894487,2.331222011,-0.35022811,-0.291762175,4.424911042,-0.323267223,-0.371324027,-0.296827265,-0.628644267,-0.312021293,-0.174908156,-0.190093744,-0.30134485,-0.321100514,-0.347838112,-0.936140605,-0.167874867,-0.67434569,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,0.247709416,-0.155180808,-0.32987644,-0.30832143,-0.103037206,-0.08640286,-0.211260259,-0.386394187,1
9,0.148830904,-0.165053972,0.355739666,-0.046894487,0.442782032,-0.35022811,0.474636154,-0.262533024,2.978770163,0.807417556,3.47404905,0.439014584,-0.312021293,-0.174908156,-0.190093744,-0.30134485,-0.321100514,-0.065417349,-0.243370459,6.756858922,0.991196996,-0.118158666,-0.290177664,0.12590802,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,0.09492796,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,1.134441316,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,0.488133711,-0.155180808,-0.107973418,0.517277803,-0.051796015,0.143478222,2.015622002,1.605861576,1
10,-0.145905533,-0.072072176,0.970644705,-0.046894487,-0.181741426,0.818405403,0.679009041,-0.262533024,-0.107916958,-0.371324027,-0.296827265,0.114074934,0.518444709,-0.174908156,0.273506936,-0.30134485,-0.321100514,-0.121901502,0.004449756,-0.050174009,-0.083078037,-0.118158666,0.252235602,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.03086267,-0.297743847,-0.197366029,-0.071380146,-0.111534108,0.005854251,-0.403285596,-0.155180808,-0.030736455,0.021104865,-0.103037206,-0.10912623,-0.047066175,0.768058656,1
